role;repo + file;workload;workload_evidence;thread_model;thread_model_evidence;primitives;tradeoff_notes
Caching layer;nushell/nushell:crates/nu-utils/src/sync/keyed_lazy_lock.rs;Coordination-heavy;"""map of keys + lazily initialised values"", ""OnceLock means that the value starts out as uninitialised, then the first thread initialises it""";Initialisation / singleton coordination model;"""Box<OnceLock<V>>"",""OnceLock serialises initialisation per key"", ""LazyLock so that it delays the creation of the map until first use""";RwLock, OnceLock, Box, LazyLock;Read-heavy cache scales efficiently through RwLock and per-key OnceLock initialisation, but insertion and initialization paths remain coordination-heavy
Runtime coordination layer;sharkdp/fd:src/main.rs;CPU-bound;"""Main, parse cli, build config, compile regexes"", ""command: command.map(Arc::new)""";Initialisation / singleton coordination model;"""main threaad: builds config, regex objects, filters, calls walk::scan() "", ""command: command.map(Arc::new) wraps the command in Arc before storing it in Config""";Arc;Immutable shared configuration minimises synchronisation overhead, but this layer only bootstraps downstream threadpool coordination
I/O coordination layer;sharkdp/fd:src/walk.rs;I/O-bound;"""parallel filesystem scanning, filter entries and send matching results between threads"", ""worker threads put WorkerResult into batches ... send the batches through channels""";Producer–consumer / pipeline coordination model;"""worker threads put WorkerResult into batches"" and ""receiver threads consume batches"", ""communication between threads uses channels crossbeam_channel::bounded""";Arc,Mutex,AtomicBool;Batching and bounded queues improve filesystem traversal throughput, but cancellation flags and batch ownership coordination add implementation complexity
Runtime coordination layer;sxyazi/yazi:yazi-core/src/tasks/tasks.rs;Coordination-heavy;“Async task monitoring and UI progress synchronisation around a shared scheduler”, “Multiple async tasks need concurrent access to task progress”, “Periodic polling loop acquires locks, derives snapshots (TaskSummary, TaskSnap), releases lock immediately, then performs UI updates”, “Scheduler object, ongoing task collection”, “Shared state coordination via lock-protected data, cooperative async task lifecycle management”, “lock only to copy state, then drop before AppProxy::update_progress(new)”;Shared-memory concurrency model;“Async task monitoring and UI progress synchronisation around a shared scheduler” and “arc scheduler object, ongoing task collection” and “One background Tokio task periodically monitors shared scheduler state while UI also read shared state” and “lock shared task state, compute summary, compare with prev summary” and “snapshotting pattern, minimises lock duration”;Arc;Uses snapshotting pattern, minimises lock duration, avoids holding locks during UI updates, relies on Arc for shared ownership instead of channels
Event dispatch system;sxyazi/yazi:yazi-dds/src/pubsub.rs;Coordination-heavy;“pubsub event routing for lua plugin, dispaches events to multiple targets, remote peers”, “maps event-kind to plugin to callback, shared PEERS/BOOT state for routing decisions”, “Shared-state routing + pub/sub, decision driven dispatch across execution and network”, “Read-heavy LOCAL.read().contains_key(n), REMOTE.read().keys().cloned().collect(), writes only happen in sub/unsub”, “Shared memory is used only for subscription + routing decisions, execution and transport are w/o locks”;Shared-state concurrency model;“pub static LOCAL: RoCell<RwLock<HashMap<', “LOCAL.read().contains_key(n)”, “writes only happen in sub/unsub”;RwLock;Registry as routing table, snapshot, no long held locks, event dispatch pipelines
Connection coordination layer;sxyazi/yazi:yazi-dds/src/server.rs;I/O-bound;"TCP server with multiple clients with message routing, broadcast updates, and async I/O handling"", ""each task reads from socket, writes via channel""";Actor / message-passing model;"""broadcast via cloned channel senders"", “(tx, mut rx) = mpsc::unbounded_channel::<String>()”, “Client { id, tx: UnboundedSender<String> }”";RwLock;Shared-memory: directory, message-passing:communication, use of snapshot, lock minimised /never held across async IO, broadcast via cloned channel senders
Caching layer;sxyazi/yazi:yazi-runner/src/loader/loader.rs;I/O-bound;“plugin loader, cache for lua module. Load plugin files from disk, cahes in memory, compile into tables”, “To avoid repeated disk reads, repeated Lua parsing/compilation”, “Shared global plugin cache mapping plugin id -> Chunk”, “rare write, in-place mutation under write lock”;Initialisation / singleton coordination model;“pub static LOADER: RoCell<Loader>”, “cache: RwLock<HashMap<String, Chunk>>”, “lazy binary compilation”, “package.loaded registry”;RwLock;caching (Rust cache + Lua package.loaded), lazy binary compilation, optimised for many readers and rare writers
Runtime coordination layer;sxyazi/yazi:yazi-scheduler/src/scheduler.rs;Coordination-heavy;“scheduler: creates tasks, assigns ids, routes them into worker queues. Dispach”, “reuse across multiple tasks, cross thread coordination, deduplication of work, shared control state across async tasks without copying”, “lock regisry, create task, release lock, dispach to worker queue”, “self.preload.loading.lock().put(hash, id)”, “self.ongoing.lock().cancel(id)”;Producer-consumer pipeline model;"""Worker + channels, shared-state coordination, event completion (CompletionToken)"", “self.file.submit(r#in, LOW)”, “self.hook.submit(hook, HIGH)”, “self.preload.loading.lock().put(hash, id)”, “Throttle::new(...)”";Arc;Arc is for system level coordination, most data flow is message-passing, Arc is used for shared engines and registries, ID avoids direct shared mutable structs
Resource coordination layer;sxyazi/yazi:yazi-scheduler/src/worker.rs;Mixed;"""Async worker runtime: task execution, cancellation, lifecycle tracking"", ""ongoing: Arc<Mutex<Ongoing>>""";Worker-thread pool execution model;"“pub struct Worker”, “Arc<Mutex<Ongoing>>”, “async_priority_channel::unbounded();”, “tokio::spawn(async move {” , “(0..YAZI.tasks.file_workers.get())”";Arc,parking_lot::Mutex;Separation between execution and coordination: work is message-passed, lifecycle/cancellation/progress are shared memory, avoids holding locks across .await, subsystem sharing
Request coordination layer;firecracker-microvm/firecracker/src/firecracker/src/api_server_adapter.rs;Coordination-heavy;"""API thread sends VmmAction through channel -> writes EventFd, VMM thread wakes via epoll/EventManager, receives request, locks Vmm briefly to execute action, sends response back through reverse channel"", ""let (to_vmm, from_api) = channel(); let (to_api, from_vmm) = channel();"", ""Message passing over shared-state"", ""pause mode blocks the EventManager and processes only API commands until resume""";Actor / message-passing model;"“API thread sends VmmAction through channel -> writes EventFd”, “let (to_vmm, from_api) = channel();”, “sends response back through reverse channel”";arc,mutex;API requests are isolated from the VM and sent through message passing to the VMM thread, which keeps VM state safe, but adds overhead and delays because all changes must go through a queue and event system.
Runtime coordination layer;firecracker-microvm/firecracker/src/firecracker/src/main.rs;Coordination-heavy;"""launches threads, and enters the event loop"", ""Coordinate VM state, metrics, device events, and communication between event loop and VCPU threads"", ""Main thread runs EventManager, VCPU threads execute guest CPUs, optional API threads interact with VMM"", ""event_manager.add_subscriber(firecracker_metrics.clone()); event_manager.run();""";Actor / message-passing model;“Main thread runs EventManager”, “event_manager.add_subscriber(”, “communication between event loop and VCPU threads”;arc,mutex;The main process coordinates VM, metrics, and threads using shared state and event loops, which keeps structure clear, but increases coupling and requires synchronisation across many components
Runtime coordination layer;firecracker-microvm/firecracker/src/vmm/src/builder.rs;Coordination-heavy;"""Assemble the VM, wire together shared state, launch the execution threads"", ""All components operate on the same virtual machine"", ""An Arc reference of the built Vmm is also plugged in the EventManager, while another is returned"", ""multiple threads/components can own references to the same VM object"", ""// The device mutex mustn't be locked here otherwise it will deadlock.""";Initialisation / singleton coordination model;"“Assemble the VM, wire together shared state, launch the execution threads”, “let vm = Arc::new(vm); let vmm = Arc::new(Mutex::new(vmm));”, “An Arc reference of the built Vmm is also plugged in the EventManager”, “multiple threads/components can own references to the same VM object”";arc,mutex;VM setup shares state across components using Arc and Mutex so everything can access the same VM, but this increases coupling between initialisation and runtime systems
Runtime coordination layer;firecracker-microvm/firecracker/src/vmm/src/lib.rs;Mixed;"Owns the Vmm struct"", ""device manager"", ""vCPU threads"", ""snapshotting"", ""device updates"", ""guest memory mappings""";Actor / message-passing model;"""Each vCPU runs in its own OS thread"", ""Main VMM thread (pub struct Vmm) -> API commands"", ""EventManager thread -> event loop, dispatches I/O + device + vCPU events"", ""communicates back via channels""";arc,mutex,barrier;Event-driven design with threads for vCPUs and devices, which improves performance by separating execution and control, but requires complex coordination using channels, barriers, and event signals
OS integration bridge;firecracker-microvm/firecracker/src/vmm/src/vstate/vcpu.rs;Mixed;"""Implements vCPU lifecycle, thread execution"", ""self.run(filter)"", ""KVM execution loops"", ""Receiver<VcpuEvent>"", ""Sender<VcpuResponse>"", ""barrier.wait()""";Worker-thread pool execution model;"“thread per vCPU”, “thread::spawn(move || { self.run(filter); });”, “each vCPU runs in its own OS thread”, “startup barrier synchronisation”";arc,barrier;Each vCPU runs in its own thread and communicates through message passing, which enables parallel execution, but adds complexity for synchronisation and coordination between threads
Resource coordination layer;firecracker-microvm/firecracker/src/vmm/src/vstate/vm.rs;Mixed;"""Mutex<HashMap>"", ""Mutex<ResourceAllocator>"", ""AtomicU32"", ""guest memory"", ""KVM VM object""
, ""memory region registration"", ""snapshotting support"", ""GuestMemoryMmap"", ""register_memory_region""";Shared-state concurrency model;“Multiple vCPU threads and device handlers must access the same VM resources”, “Guest RAM (GuestMemoryMmap)”, “interrupt routing table (Mutex<HashMap>)”, “resource allocator (Mutex<ResourceAllocator>)”;arc,mutex,AtomicU32;Shared VM state is accessed by many threads using locks and atomics, which keeps memory consistent, but introduces performance overhead and increases complexity
Shared configuration system;casey/just/src/analyzer.rs;CPU-bound;"“Take the parsed ASTs and verify if everything is allowed before execution”, “expression.references()”, “Analyzer::resolve_call(functions, name, arguments)?;”";Initialisation / singleton coordination model;“Take the parsed ASTs and verify if everything is allowed before execution”, “Read only access”, “recipes are constructed once and then treated as read-only”;arc;Static analysis over immutable shared data makes execution simple and fast, but it assumes everything never changes during analysis
Shared configuration system;casey/just/src/dependency.rs;CPU-bound;“Represent a recipe dependency with arguments + support serialisation and display formatting”, “recipe.name()”, “serialisation traversal, display traversal”;Initialisation / singleton coordination model;"""Represent a recipe dependency with arguments + support serialisation and display formatting”, “Mostly reads (recipe.name(), serialisation traversal, display traversal)”, “Arc for ownership/lifetime management instead of coordination”";arc;Very lightweight representation of dependencies keeps the system simple and fast, but only supports static traversal and formatting
Runtime coordination layer;casey/just/src/justfile.rs;Mixed;"“Dependency execution, prevents duplicate runs when run in parallel”, “Allow concurrent execution of dependency recipes + ensure a recipe runs at most once”, “let mutex = ran.mutex(recipe, arguments);”, “Dependency worker threads spawned in run_dependencies()”";Resource arbitration model;"“prevent duplicate runs when run in parallel”, “Dependency execution”, “let mutex = ran.mutex(recipe, arguments); let mut guard = mutex.lock().unwrap();”, “prevent the same recipe from executing twice, coordinate the execution across threads”";Arc, mutex;Parallel execution of dependencies improves throughput, but requires locking to prevent duplicate execution, which adds overhead
State synchronisation layer;casey/just/src/ran.rs;Coordination-heavy;“Track whether a recipe path + arguments has already executed and prevent duplicate execution across parallel dependency threads”, “Multiple threads may reach the same dependency at the same time and must coordinate so it runs only once”, “entry(recipe.recipe_path().clone())”;Resource arbitration model;“Track whether a recipe path + arguments has already executed and prevent duplicate execution across parallel dependency threads”, “Multiple threads may reach the same dependency at the same time and must coordinate so it runs only once”, “Arc<Mutex<bool>> is shared and locked by workers before execution”;arc,mutex;Central registry prevents the same work from running twice, which ensures correctness in parallel execution, but the global lock can become a bottleneck when many tasks are started at once
OS integration bridge;casey/just/src/signal_handler.rs;Coordination-heavy;"“Install OS signal handlers, track child processes and forward signals to child processes when needed”, “static INSTANCE: Mutex<SignalHandler> = Mutex::new(SignalHandler::new());”, “children: BTreeMap<i32, Command>”, “handle() through registered signal callbacks”";Shared-state concurrency model;“Install OS signal handlers, track child processes and forward signals to child processes when needed”, “Exclusive mutable access through mutex”, “static INSTANCE: Mutex<SignalHandler>”;mutex;Signal handler keeps system-wide behavior consistent, but all signal updates go through a single lock, which limits parallel handling
